Handle,Title,Watch Brand (product.metafields.custom.watch_brand),Watch Size (product.metafields.custom.watch_size),Watch Movement (product.metafields.custom.watch_movement),Watch Gender (product.metafields.custom.watch_gender),Watch Type (product.metafields.custom.watch_type)
cadola-pointer-date-1930-s,Cadola Pointer DateÊ (1930’s),Cadola,,,,
seiko-5-1975,Seiko 5 (1974),Seiko,,,,
titan-with-24hr-complication-quartz-1990s,Titan with 24hr Complication (Quartz) (1990s),Titan,,Quartz,,
citizen-parawater-1971,Citizen Parawater (1971),Citizen,,,,
universal-geneve-small-seconds-quartz,Universal Geneve Small Seconds (Quartz),Universal Geneve,,Quartz,,
citizen-eco-drive,"Citizen, Eco Drive",Citizen,,,,
orient-multi-year-calendar-1980-s,"Orient , Multi year Calendar (1980’s)",Orient,,,,
orient-multi-year-calendar-1984,"Orient , Multi year Calendar Ê (1984)",Orient,,,,
seiko-panda-6138-8020,Seiko - Panda (6138-8020),Seiko,,,,
seiko-bullhead-6138-0040,Seiko - Bullhead (6138-0040),Seiko,,,,
seiko-ufo-6138-0020t,Seiko - UFO (6138-0020T),Seiko,,,,
seiko-silver-pogue-6139-6002,Seiko - Silver Pogue (6139-6002),Seiko,,,,
seiko-bullhead-1,Seiko - Kakume,Seiko,,,,
seiko-baby-tuna-50th-anniversary-2015,Seiko Baby Tuna 50th AnniversaryÊ - (2015),Seiko,,,,
dugena-1990-s-power-reserve-indicator,Dugena - (1990’s) Power Reserve Indicator,Dugena,,,,
zenith-ladies-vintage,Zenith - Ladies (Vintage),Zenith,,,Ladies,
seiko-6,Seiko - 5 (Pink Accents),Seiko,,,,
seiko-5,Seiko - 5 (White),Seiko,,,,
prisma-dolphin-epsa-compressor-1964,Prisma - Dolphin Epsa Compressor (1964),Prisma,,,,
citizen-7-1970-s,Citizen - 7 (1970’s),Citizen,,,,
seiko-bellmatic,Seiko - Bellmatic (17 Jewels),Seiko,,,,
tissot-seven-tank-mid-1970s,Tissot Seven TankÊ (Mid 1970s),Tissot,,,,
seiko-5-7s-26-april-1983,Seiko 5 - 7S 26 (April 1983),Seiko,,,,
seiko-lordmatic-1975,Seiko - Lordmatic (1975),Seiko,,,,
favre-leuba,Favre Leuba,Favre Leuba,,,,
seiko-advan-1973,Seiko - Advan (1973),Seiko,,,,
seiko-5-december-1974,Seiko 5 (December 1974),Seiko,,,,
casio-wrist-remote-controller-db-35-h-1990s,Casio - Wrist Remote Controller DB 35-H (1990s),Casio,,,,
seiko-5-january-1973,Seiko 5 (January 1973),Seiko,,,,
raketa-the-big-zero,Raketa - The Big Zero,Raketa,,,,
tissot-pr-516-ladies,Tissot PR 516 (Ladies),Tissot,,,Ladies,
sandoz-aqua,Sandoz Aquaplane (1960s),Sandoz,,,,
yema-sous-marine-1970,Yema - Sous Marine (1970),Yema,,,,
omega-geneve-cal-601-1969,Omega - Geneve Cal. 601 (1969),Omega,,,,
enicar-sherpa-super-jet-1970-s,Enicar - Sherpa Super Jet (1970’s) (Crown Signed),Enicar,,,,
camy-challenger-mid-1950-s,Camy Challenger (Mid 1950’s),Camy,,,,
seiko-5-6309-september-1978,Seiko - 5 (6309) (September 1978),Seiko,,,,
rado-trident-200-1970-s,"Rado, Trident 200 (1970’s)",Rado,,,,
citizen-challenge-timer-1977,Citizen - Challenge Timer (1977),Citizen,,,,
timex-viscount-1961-extremely-rare-with-original-flex-bracelet,Timex - Viscount (1961) (Extremely Rare With Original Flex Bracelet),Timex,,,,
mortima-super-daytomatic-1972,Mortima - Super Daytomatic (1972),Mortima,,,,
enicar-ocean-pearl-1975,Enicar - Ocean Pearl (1975),Enicar,,,,
girard-perregaux-vintage,Girard Perregaux (Vintage),Girard,,,,
enicar-sherpa-320,"Enicar, Sherpa 320",Enicar,,,,
enicar-ultrasonic-1965,"Enicar, Ultrasonic (1965)",Enicar,,,,
allwyn,Allwyn,Allwyn,,,,
seiko-navigator-gmt-1971,Seiko - Navigator GMTÊ (1971),Seiko,,,,
seiko-bellmatic-1971,Seiko - BellmaticÊ (1971),Seiko,,,,
titoni-space-star-1964,Titoni - Space Star (1964),Titoni,,,,
citizen-6501-1974,Citizen - 6501 (1974),Citizen,,,,
tressa-laser-beam-1971,Tressa - Laser Beam (1971),Tressa,,,,
citizen-eagle,Citizen - Eagle,Citizen,,,,
enicar-ultrasonic,Enicar - Ultrasonic,Enicar,,,,
certina-club-2000,Certina - Club 2000,Certina,,,,
seiko-sea-lion-vintage-watch,Seiko - Sea Lion Vintage Watch,Seiko,,,,
